,index,city_st
600,"Chesterfield, VA",2
2620,"Chestertown, MD",1
241,"Cheyenne, WY",4
1221,"Chicago Ridge, IL",1
1,"Chicago, IL",18
796,"Chico, CA",2
1383,"Chicopee, MA",1
766,"Chillicothe, OH",2
1151,"Chincoteague, VA",1
2322,"Chino Hills, CA",1
850,"Chino, CA",2
2401,"Chisholm, MN",1
1378,"Chllicothe, OH",1
1746,"Chowchilla, CA",1
1644,"Christiansburg, VA",1
1162,"Christiansted, U.S. Virgin Islands",1
739,"Chula Vista, CA",2
2022,"Cicero, IL",1
44,"Cincinnati, OH",9
1121,"City of Port of Spain, Trinidad and Tobago",1
1404,"Claremont, CA",1
695,"Claremore, OK",2
585,"Clark, NJ",2
769,"Clarksburg, MD",2
779,"Clarksburg, WV",2
2190,"Clarksville, IN",1
264,"Clarksville, TN",3
1692,"Clayton, CA",1
2266,"Clayton, GA",1
744,"Clayton, MO",2
2111,"Clayton, OK",1
1795,"Clearlake, CA",1
1336,"Clearwater, FL",1
637,"Cleburne, TX",2
1936,"Clemson, SC",1
1540,"Clermont, FL",1
1229,"Cleveland, MS",1
141,"Cleveland, OH",5
2248,"Cleveland, TN",1
2358,"Clifton Park, NY",1
355,"Clifton, NJ",3
2363,"Clinton, CT",1
1300,"Clinton, IA",1
1600,"Clinton, MA",1
2393,"Clinton, NY",1
2020,"Cloverdale, CA",1
1026,"Clovis, NM",1
1913,"Coatesville, PA",1
1718,"Cocoa, FL",1
987,"Cody, WY",1
402,"Coeur d'Alene, ID",3
1373,"Coffeyville, KS",1
2351,"Cohoes, NY",1
1563,"Colchester, CT",1
1349,"Colchester, VT",1
1117,"Coldwater, MI",1
1179,"Colfax, CA",1
2059,"College Park, MD",1
479,"College Station, TX",2
2167,"Collierville, TN",1
1302,"Collinsville, IL",1
2473,"Collinsville, MO",1
864,"Cologne, Germany",2
1699,"Colombo, Sri Lanka",1
1866,"Colonial Heights, VA",1
61,"Colorado Springs, CO",8
1968,"Columbia, IL",1
448,"Columbia, MD",2
73,"Columbia, MO",8
196,"Columbia, MS",4
116,"Columbia, SC",6
119,"Columbus, GA",6
723,"Columbus, NE",2
107,"Columbus, OH",6
692,"Commack, NY",2
1148,"Commerce, TX",1
776,"Compton, CA",2
2572,"Concord, CA",1
2153,"Concord, NC",1
1193,"Concord, NH",1
1551,"Conroe, TX",1
377,"Conway, AR",3
1855,"Conway, NH",1
790,"Conway, SC",2
965,"Conyers, GA",1
1983,"Cookeville, TN",1
1736,"Cooperstown, NY",1
1737,"Coos Bay, OR",1
2159,"Copiague, NY",1
2589,"Coppell, TX",1
2341,"Copperas Cove, TX",1
2143,"Coquille, OR",1
1680,"Coral Gables, FL",1
1416,"Coral Springs, FL",1
292,"Coralville, IA",3
1361,"Coraopolis, PA",1
240,"Corbin, KY",4
2193,"Cornelius, NC",1
1081,"Corning, NY",1
1675,"Cornwall, CT",1
2507,"Corona, CA",1
287,"Coronado, CA",3
428,"Corpus Christi, TX",3
1436,"Cortland, NY",1
844,"Corvallis, OR",2
1276,"Coshocton, OH",1
177,"Costa Mesa, CA",4
2386,"Cottage Grove, OR",1
2074,"Council Bluffs, IA",1
2431,"Coventry, CT",1
1009,"Covington, GA",1
2496,"Covington, KY",1
1071,"Covington, LA",1
2511,"Covington, VA",1
1550,"Coxsackie, NY",1
2355,"Craig, CO",1
1700,"Cranford, NJ",1
1247,"Cranston, RI",1
1931,"Crawford, GA",1
620,"Crawfordsville, IN",2
1800,"Creede, CO",1
1036,"Crescent City, CA",1
891,"Crested Butte, CO",2
2223,"Crestwood, MO",1
1588,"Creve Coeur, MO",1
1198,"Crofton, MD",1
1455,"Cromwell, CT",1
1244,"Crossett, AR",1
2003,"Crowley, LA",1
732,"Crown Point, IN",2
260,"Crystal Lake, IL",3
2348,"Cullman, AL",1
1032,"Culpeper, VA",1
533,"Culver City, CA",2
2418,"Cumberland, MD",1
772,"Cumming, GA",2
2334,"Cupertino, CA",1
1569,"Cutler Bay, FL",1
1656,"Cypress, CA",1
2628,"Dacula, GA",1
2584,"Dadeville, AL",1
1046,"Dallas, OR",1
22,"Dallas, TX",11
1285,"Dalton, GA",1
2080,"Damascus, MD",1
1432,"Dana Point, CA",1
329,"Danbury, CT",3
1272,"Dansville, NY",1
249,"Danville, CA",3
1181,"Danville, IL",1
2330,"Danville, KY",1
2582,"Danville, PA",1
411,"Danville, VA",3
560,"Darien, CT",2
1726,"Dartmouth, MA",1
409,"Davenport, IA",3
515,"Davie, FL",2
2412,"Davis, CA",1
1044,"Davison, MI",1
234,"Dayton, OH",4
2175,"Daytona Beach Shores, FL",1
2376,"Daytona Beach, FL",1
2357,"De Pere, WI",1
1394,"DeFuniak Springs, FL",1
651,"DeKalb, IL",2
616,"DeLand, FL",2
2424,"DeRidder, LA",1
1469,"DeWitt, NY",1
1772,"Dearborn, MI",1
1901,"Decatur, AL",1
2497,"Decatur, GA",1
205,"Decatur, IL",4
1582,"Decorah, IA",1
2481,"Deep River, CT",1
947,"Deer Park, NY",1
2241,"Deerfield, IL",1
824,"Defiance, OH",2
82,"Dekalb, IL",7
1084,"Del Mar Heights, CA",1
2328,"Del Mar, CA",1
698,"Del Rio, TX",2
2218,"Delano, CA",1
535,"Delaware, OH",2
1103,"Delhi, NY",1
1379,"Delmar, NY",1
582,"Delray Beach, FL",2
999,"Deluth, MN",1
1108,"Deming, NM",1
1113,"Denham Springs, LA",1
2234,"Denison, IA",1
2270,"Denison, TX",1
38,"Denton, TX",10
14,"Denver, CO",12
2057,"Denville, NJ",1
1844,"Derby, CT",1
1935,"Derby, KS",1
9,"Des Moines, IA",15
2321,"Desert Hot Springs, CA",1
1833,"Detroit Lakes, MN",1
36,"Detroit, MI",10
1203,"Diamond Bar, CA",1
935,"Dickinson, ND",1
1958,"Dillingham, AK",1
1196,"Dobbs Ferry, NY",1
1057,"Dodge City, KS",1
2116,"Dodgeville, WI",1
1758,"Dolores, CO",1
497,"Doral, FL",2
1396,"Dormont, PA",1
1576,"Dothan, AL",1
1463,"Douglasville, GA",1
741,"Dover, DE",2
2509,"Dover, NH",1
2209,"Dover, OH",1
1325,"Downers Grove, IL",1
2101,"Downey, CA",1
574,"Doylestown, PA",2
523,"Du Quoin, IL",2
1135,"DuBois, PA",1
2432,"Dublin, CA",1
1500,"Dublin, GA",1
567,"Dublin, Ireland",2
726,"Dublin, NH",2
1309,"Dublin, OH",1
1683,"Dubois, PA",1
504,"Dubuque, IA",2
1548,"Duluth, GA",1
235,"Duluth, MN",4
1618,"Dumfries, VA",1
1520,"Duncan, OK",1
2079,"Dunn, NC",1
553,"Durango, CO",2
1841,"Durham, CT",1
65,"Durham, NC",8
1897,"Duvall, WA",1
1184,"Eagle Pass, TX",1
2283,"Easley, SC",1
2368,"East Brunswick, NJ",1
1041,"East Cleveland, OH",1
2073,"East Granby, CT",1
