,index,city_st
1194,"Plainview, NY",1
1658,"Plainville, CT",1
786,"Plano, TX",2
1710,"Plant City, FL",1
496,"Plattsburgh, NY",2
1839,"Plattsburgh, New York, NY",1
2146,"Pleasant Hills, PA",1
2312,"Pleasanton, CA",1
2455,"Plymouth, IN",1
2501,"Plymouth, MA",1
733,"Plymouth, MI",2
898,"Pocatello, ID",2
1350,"Pocomoke City, MD",1
2156,"Podgorica, Montenegro",1
1654,"Pokomoke City, MD",1
1131,"Political, Puerto Rico",1
1013,"Polson, MT",1
2206,"Pomfret, CT",1
326,"Pomona, CA",3
1783,"Ponca City, OK",1
653,"Pontiac, MI",2
1954,"Poquoson, VA",1
1613,"Port Allen, LA",1
845,"Port Angeles, WA",2
2060,"Port Arthur, TX",1
806,"Port Huron, MI",2
2107,"Port Jefferson Station, NY",1
2176,"Port Orange, FL",1
1755,"Port St. Lucie, FL",1
430,"Port Townsend, WA",3
2408,"Portage, IN",1
1919,"Portage, MI",1
1266,"Portage, PA",1
1715,"Porterville, CA",1
126,"Portland, ME",6
3,"Portland, OR",17
1504,"Portsmouth, NH",1
2327,"Portsmouth, OH",1
166,"Portsmouth, VA",5
159,"Potsdam, NY",5
1830,"Potsdam, New York, NY",1
782,"Pottstown, PA",2
1224,"Pottsville, PA",1
272,"Poughkeepsie, NY",3
580,"Poulsbo, WA",2
293,"Poway, CA",3
1447,"Prairie Grove, AR",1
973,"Prairie Village, KS",1
1344,"Prairie Village, MO",1
1553,"Prairie du Sac, WI",1
2044,"Prescott Valley, AZ",1
525,"Prescott, AZ",2
2273,"Presque Isle, ME",1
1259,"Prince Frederick, MD",1
1231,"Princeton, IL",1
1762,"Princeton, IN",1
1339,"Princeton, KY",1
2161,"Princeton, NJ",1
1138,"Princeton, WV",1
1025,"Prineville, OR",1
1843,"Protester violence, MI",1
211,"Providence, RI",4
1905,"Provincetown, MA",1
707,"Provo, UT",2
299,"Pueblo, CO",3
555,"Pullman, WA",2
1806,"Punta Gorda, FL",1
1362,"Punxsutawney, PA",1
2407,"Purcellville, VA",1
1418,"Puyallup, WA",1
1280,"Quakertown, PA",1
1317,"Queen Creek, AZ",1
212,"Queens, NY",4
1019,"Quincy, CA",1
2192,"Quincy, FL",1
661,"Quincy, IL",2
1753,"Quincy, MA",1
1173,"Quincy, WA",1
1670,"Quinlan, TX",1
156,"Racine, WI",5
2198,"Radnor, PA",1
536,"Raeford, NC",2
2194,"Rahway, NJ",1
27,"Raleigh, NC",10
447,"Ramona, CA",2
427,"Rancho Cucamonga, CA",3
1942,"Rancho Mirage, CA",1
648,"Rancho Palos Verdes, CA",2
1056,"Rancho Santa Margarita, CA",1
2260,"Randallstown, MD",1
2482,"Randolph, MA",1
181,"Rapid City, SD",4
2253,"Ravenna, OH",1
2269,"Raymond, WA",1
373,"Reading, PA",3
457,"Red Bank, NJ",2
2441,"Red Bank, SC",1
490,"Red Bluff, CA",2
1714,"Red Hook, NY",1
2024,"Red Lodge, MT",1
671,"Red Wing, MN",2
226,"Redding, CA",4
281,"Redlands, CA",3
859,"Redmond, WA",2
2558,"Redmong, WA",1
970,"Redondo Beach, CA",1
894,"Redwood City, CA",2
548,"Rehoboth Beach, DE",2
162,"Reno, NV",5
691,"Renton, WA",2
503,"Rexburg, ID",2
542,"Rhinebeck, NY",2
1496,"Rhinelander, WI",1
1249,"Rice Lake, WI",1
2562,"Richardson, TX",1
473,"Richland, WA",2
2021,"Richlands, VA",1
2179,"Richmond Hill, GA",1
1591,"Richmond, CA",1
1598,"Richmond, IN",1
1749,"Richmond, KY",1
1139,"Richmond, OH",1
1707,"Richmond, RI",1
20,"Richmond, VA",11
180,"Ridgecrest, CA",4
2390,"Ridgefield Park, NJ",1
998,"Ridgefield, CT",1
1530,"Ridgefield, WA",1
1513,"Ridgeway, VA",1
527,"Ridgewood, NJ",2
1318,"Rifle, CO",1
1727,"Rio Grande, NJ",1
1043,"Riveraide, CA",1
2332,"Riverbank, CA",1
820,"Riverhead, NY",2
199,"Riverside, CA",4
2255,"Riverton, WY",1
705,"Riverview, FL",2
1975,"Riviera Beach, FL",1
261,"Roanoke, VA",3
943,"Rochester Hills, MI",1
974,"Rochester, MI",1
245,"Rochester, MN",4
115,"Rochester, NY",6
2333,"Rock Hill, SC",1
259,"Rock Springs, WY",3
63,"Rockford, IL",8
1176,"Rockingham, NC",1
566,"Rockland, ME",2
1877,"Rockville, MD",1
1159,"Rockwall, TX",1
2094,"Rocky Hill, CT",1
1464,"Rocky Mount, NC",1
1979,"Rocky Mount, VA",1
572,"Rogers, AR",2
1347,"Rolla, MO",1
187,"Rome, GA",4
2389,"Rome, Italy",1
2053,"Rome, NY",1
1732,"Romeo, MI",1
1207,"Roseburg, OR",1
412,"Roseville, CA",3
1265,"Roseville, MN",1
985,"Roslindale, MA",1
2050,"Roswell, GA",1
2036,"Roswell, NM",1
2399,"Round Hill, VA",1
140,"Round Rock, TX",5
949,"Rowland Heights, CA",1
1725,"Rowlett, TX",1
1888,"Royal Oak, MI",1
1593,"Royersford, PA",1
1549,"Royse City, TX",1
2614,"Rugby, ND",1
1512,"Ruidoso, NM",1
1649,"Rushville, IN",1
2124,"Russellville, AR",1
1633,"Ruston, LA",1
2015,"Rutherford, NJ",1
623,"Rutland, VT",2
42,"Sacramento, CA",10
2579,"Safford, AZ",1
346,"Saginaw, MI",3
440,"Salem, MA",2
85,"Salem, OR",7
979,"Salem, VA",1
882,"Salida, CO",2
2184,"Salina, KS",1
434,"Salinas, CA",2
840,"Salisbury, CT",2
526,"Salisbury, MD",2
382,"Salisbury, NC",3
30,"Salt Lake City, UT",10
1248,"San Angelo, TX",1
18,"San Antonio, TX",12
718,"San Bernardino, CA",2
562,"San Clemente, CA",2
43,"San Diego, CA",10
28,"San Francisco, CA",10
1475,"San Francisco, FL",1
1228,"San Gabriel, CA",1
45,"San Jose, CA",9
2068,"San Juan, Puerto Rico",1
144,"San Luis Obispo, CA",5
361,"San Marcos, TX",3
644,"San Mateo, CA",2
2571,"San Pedro, CA",1
887,"San Rafael, CA",2
822,"San Ramon, CA",2
1435,"Sandersville, GA",1
925,"Sandpoint, ID",2
860,"Sandusky, OH",2
2615,"Sandwich, IL",1
1022,"Sandy Springs, GA",1
2494,"Sanford, ME",1
1832,"Sanford, NC",1
130,"Santa Ana, CA",5
206,"Santa Barbara, CA",4
52,"Santa Clarita, CA",9
358,"Santa Cruz, CA",3
788,"Santa Fe, NM",2
680,"Santa Maria, CA",2
171,"Santa Monica, CA",5
95,"Santa Rosa, CA",6
231,"Santee, CA",4
2010,"Saranac Lake, NY",1
2023,"Saranac Lake, New York, NY",1
81,"Sarasota, FL",7
185,"Saratoga Springs, NY",4
1165,"Sault Ste. Marie, MI",1
275,"Savannah, GA",3
1659,"Sayreville, NJ",1
1030,"Sayville, NY",1
1177,"Schaumburg, IL",1
1270,"Schenectady, NY",1
2237,"Scituate, MA",1
1330,"Scotch Plains, NJ",1
1191,"Scottsbluff, NE",1
594,"Scottsdale, AZ",2
379,"Scranton, PA",3
1061,"Seaford, DE",1
660,"Seaside, CA",2
1767,"Seaside, OR",1
6,"Seattle, WA",16
123,"Sebastopol, CA",6
631,"Sebring, FL",2
1284,"Sedalia, MO",1
1862,"Seguin, TX",1
1956,"Selah, WA",1
2065,"Selinsgrove, PA",1
2485,"Selma, AL",1
1337,"Selma, NC",1
336,"Sequim, WA",3
1985,"Seymour, IN",1
606,"Shaker Heights, OH",2
1053,"Shamokin, PA",1
1774,"Sharon, CT",1
1590,"Sharon, OH",1
1646,"Sharon, PA",1
1836,"Sharpsville, PA",1
1757,"Shawano, WI",1
1959,"Shawnee, OK",1
900,"Sheboygan, WI",2
2118,"Shelburne Falls, MA",1
1865,"Shelby Township, MI",1
380,"Shelby, NC",3
1859,"Shelby, OH",1
569,"Shelbyville, KY",2
1647,"Shelter Island, NY",1
2087,"Shelton, CT",1
2314,"Shelton, WA",1
1965,"Sheridan, WY",1
1214,"Sherman, TX",1
198,"Shirley, NY",4
1637,"Shoreline, WA",1
1456,"Shoreview, MN",1
516,"Shorewood, WI",2
98,"Shreveport, LA",6
2439,"Shrewsbury, MA",1
2123,"Sidney, NE",1
1130,"Sidney, OH",1
2186,"Sierra Madre, CA",1
775,"Sierra Vista, AZ",2
1837,"Silver City, NM",1
366,"Silver Spring, MD",3
2365,"Silverdale, WA",1
481,"Simi Valley, CA",2
1708,"Simpsonville, SC",1
1002,"Simsbury, CT",1
152,"Sioux City, IA",5
618,"Sioux Falls, SD",2
543,"Sisters, OR",2
529,"Sitka, AK",2
2225,"Skagway, AK",1
1838,"Skokie, IL",1
1519,"Skowhegan, ME",1
1648,"Slidell, LA",1
564,"Smithtown, NY",2
394,"Smyrna, GA",3
663,"Snohomish, WA",2
1827,"Snoqualmie, WA",1
1779,"Sofia, Bulgaria",1
1028,"Solana Beach, CA",1
2598,"Soldotna, AK",1
1140,"Solvang, CA",1
1283,"Somers Point, NJ",1
955,"Somers, CT",1
2056,"Somers, NY",1
2082,"Somerset, KY",1
1157,"Somerset, PA",1
1861,"Somerville, CA",1
816,"Somerville, NJ",2
1620,"Sonoma, CA",1
2067,"Sonora, CA",1
1864,"Souderton, PA",1
904,"South Bay, CA",2
209,"South Bend, IN",4
1137,"South Boston, VA",1
2611,"South Brunswick, NJ",1
1799,"South Kingstown, RI",1
709,"South Lake Tahoe, CA",2
416,"South Pasadena, CA",3
2339,"South Portland, ME",1
1719,"South Royalton, VT",1
2405,"South San Francisco, CA",1
256,"South Windsor, CT",3
1610,"Southampton, NY",1
2120,"Southbridge, MA",1
740,"Southbury, CT",2
1518,"Southington, CT",1
1277,"Southlake, TX",1
1702,"Southwick, MA",1
2605,"Sparta, IL",1
767,"Spartanburg, SC",2
1410,"Spencer, IA",1
163,"Spokane, WA",5
1321,"Spotsylvania County, VA",1
2130,"Spring Hill, TN",1
731,"Spring Hope, NC",2
2164,"Spring Township, PA",1
1494,"Spring Valley, NY",1
841,"Springboro, OH",2
442,"Springfield, IL",2
321,"Springfield, MA",3
105,"Springfield, MO",6
2157,"Springfield, OH",1
690,"Springfield, OR",2
1092,"Springfield, VT",1
1428,"St. Albans, VT",1
2137,"St. Anthony, MN",1
103,"St. Augustine, FL",6
2324,"St. Charles, IL",1
682,"St. Charles, MO",2
1279,"St. Clair Shores, MI",1
455,"St. Cloud, MN",2
2514,"St. Francisville, LA",1
128,"St. George, UT",5
991,"St. Helens, OR",1
2530,"St. John, IL",1
1574,"St. Johns, FL",1
2016,"St. Johns, IL",1
2411,"St. Johnsbury, VT",1
271,"St. Joseph, MO",3
1149,"St. Louis City, MO",1
2483,"St. Louis Park, MN",1
40,"St. Louis, MO",10
2138,"St. Matthews, KY",1
37,"St. Paul, MN",10
2414,"St. Peter, MN",1
77,"St. Petersburg, FL",8
2249,"Stafford, NJ",1
1490,"Stafford, VA",1
150,"Stamford, CT",5
1556,"Stanardsville, VA",1
1934,"Stanford, CA",1
125,"Stanwood, WA",6
1363,"Starkville, MS",1
248,"State College, PA",3
62,"Staten Island, NY",8
688,"Statesboro, GA",2
749,"Statesville, NC",2
579,"Staunton, VA",2
798,"Steamboat Springs, CO",2
801,"Stephenville, TX",2
2395,"Sterling Heights, MI",1
948,"Sterling, CO",1
1393,"Sterling, VA",1
596,"Steubenville, OH",2
323,"Stevens Point, WI",3
2404,"Stevenson, WA",1
1849,"Stillwater, OK",1
138,"Stockton, CA",5
737,"Stonington, CT",2
2577,"Stoughton, MA",1
1485,"Stratford, CT",1
521,"Stroudsburg, PA",2
628,"Stuart, FL",2
1299,"Studio City, CA",1
1444,"Sturgeon Bay, WI",1
603,"Sudbury, MA",2
491,"Suffolk, VA",2
2085,"Sulphur Springs, TX",1
903,"Summerville, SC",2
1815,"Summit, NJ",1
839,"Sumter, SC",2
2106,"Sun Prairie, WI",1
1501,"Sunapee, NH",1
1453,"Sunbury, PA",1
2566,"Sunnyvale, CA",1
1357,"Sunrise, FL",1
1287,"Superior, WI",1
610,"Surprise, AZ",2
2279,"Suwanee, GA",1
1369,"Swampscott, MA",1
2352,"Sweetwater, TN",1
1236,"Sycamore, IL",1
215,"Sykesville, MD",4
1932,"Sylacauga, AL",1
1411,"Sylva, NC",1
1425,"Sylvania, OH",1
2607,"Syosset, NY",1
41,"Syracuse, NY",10
76,"Tacoma, WA",8
2272,"Tahlequah, OK",1
2325,"Takoma Park, MD",1
2119,"Talkeetna, AK",1
2287,"Talladega, AL",1
23,"Tallahassee, FL",11
1320,"Tallmadge, OH",1
74,"Tampa, FL",8
2369,"Tampa, Fl",1
855,"Tamuning, Guam",2
1552,"Taos, NM",1
1340,"Tarrytown, NY",1
1785,"Taunton, MA",1
1816,"Taunton, MD",1
1143,"Taylor, TX",1
1471,"Taylorville, IL",1
1114,"Teaneck, NJ",1
966,"Tecumseh, MI",1
1472,"Tehachapi, CA",1
1657,"Telluride, CO",1
399,"Temecula, CA",3
2088,"Tempe, AZ",1
1482,"Temple City, CA",1
1615,"Temple Terrace, FL",1
2203,"Temple, TX",1
1450,"Terra Linda, CA",1
173,"Terre Haute, IN",5
1345,"Texarkana, TX",1
1729,"The Dalles, OR",1
1502,"The Hague, Netherlands",1
818,"The Woodlands, TX",2
1594,"Thibodaux, LA",1
1470,"Thomaston, CT",1
2402,"Thomasville, GA",1
1898,"Thomson, GA",1
254,"Thousand Oaks, CA",3
1480,"Tiffin, OH",1
1174,"Tinley Park, IL",1
1998,"Titusville, FL",1
108,"Toledo, OH",6
1099,"Tolland, CT",1
1878,"Tomah, WI",1
2613,"Toms River, NJ",1
674,"Topeka, KS",2
2510,"Torrance, CA",1
655,"Torrington, CT",2
1094,"Torrington, WY",1
375,"Towson, MD",3
2049,"Tracy, CA",1
1903,"Traverse City, MI",1
993,"Traverse. City, MI",1
350,"Trenton, NJ",3
2048,"Trotwood, OH",1
2379,"Troutdale, OR",1
393,"Troy, AL",3
433,"Troy, MI",2
1879,"Troy, NY",1
1927,"Troy, OH",1
921,"Truckee, CA",2
2457,"Trumbull, CT",1
665,"Tualatin, OR",2
121,"Tucson, AZ",6
84,"Tulsa, OK",7
581,"Tupelo, MS",2
1386,"Tupper Lake, NY",1
1712,"Turin, Italy",1
406,"Turlock, CA",3
556,"Tuscaloosa, AL",2
291,"Tuscola, IL",3
2285,"Tuscumbia, AL",1
2028,"Tuskegee, AL",1
927,"Twentynine Palms, CA",2
888,"Twin Falls, ID",2
304,"Tyler, TX",3
1066,"Ukiah, CA",1
2219,"Ulm, Germany",1
1923,"Unalakleet, AK",1
2443,"Union, MO",1
2456,"Uniondale, NY",1
2547,"Uniontown, PA",1
2061,"University Heights, CA",1
675,"Upland, CA",2
2335,"Upper Arlington, OH",1
1107,"Upper Darby, PA",1
2543,"Upper Jay, NY",1
971,"Upper St. Clair, PA",1
800,"Urbana, IL",2
1571,"Utica, NY",1
1446,"Utulei, American Samoa",1
713,"Vacaville, CA",2
1365,"Vail, CO",1
2522,"Valdez, AK",1
866,"Valdosta, GA",2
112,"Vallejo, CA",6
1294,"Valley City, ND",1
667,"Valley Stream, NY",2
1984,"Valparaiso, IN",1
1392,"Van Nuys, CA",1
2320,"Van Wert, OH",1
197,"Vancouver, WA",4
1352,"Vandergrift, PA",1
774,"Vashon, WA",2
1829,"Venice Beach, CA",1
1038,"Venice, CA",1
640,"Ventura, CA",2
1933,"Vernon Hills, IL",1
1360,"Vernon, CT",1
1257,"Vernon, NJ",1
586,"Vero Beach, FL",2
1728,"Vestavia Hills, AL",1
2025,"Vicksburg, MS",1
968,"Victor, ID",1
1904,"Victor, NY",1
318,"Victoria, TX",3
404,"Victorville, CA",3
1587,"Vidor, TX",1
832,"Vienna, VA",2
1401,"Viera, FL",1
1638,"Vincennes, IN",1
2178,"Vineland, NJ",1
1929,"Vineyard Haven, MA",1
1706,"Virgina Beach, VA",1
59,"Virginia Beach, VA",8
722,"Virginia, MN",2
172,"Visalia, CA",5
2233,"Voorhees, NJ",1
694,"Waco, TX",2
2031,"Wadesboro, NC",1
1847,"Wagoner, OK",1
343,"Waikiki, HI",3
1097,"Waitsfield, VT",1
621,"Walla Walla, WA",2
493,"Wallingford, CT",2
1161,"Wallkill, NY",1
1042,"Walnut Creek, CA",1
1595,"Walnut, CA",1
875,"Waltham, MA",2
2568,"Ware, MA",1
708,"Warner Robins, GA",2
924,"Warren, MI",2
1804,"Warren, NJ",1
2251,"Warren, OH",1
827,"Warren, PA",2
1086,"Warrenton, VA",1
459,"Warsaw, IN",2
465,"Warsaw, Poland",2
852,"Warwick, NY",2
2445,"Wasau, WI",1
1991,"Washburn, WI",1
1422,"Washington, CT",1
7,"Washington, DC",16
2423,"Washington, IN",1
1606,"Washington, NC",1
331,"Washington, PA",3
1101,"Washougal, WA",1
2126,"Waterbury, CT",1
615,"Waterford, CT",2
100,"Waterloo, IA",6
1585,"Waterloo, IL",1
2458,"Waterloo, MO",1
2196,"Watertown, CT",1
469,"Watertown, NY",2
937,"Watertown, SD",1
664,"Waterville, ME",2
1090,"Watsonville, CA",1
500,"Waukegan, IL",2
1993,"Waukesha, WI",1
901,"Wausau, WI",2
446,"Wauwatosa, WI",2
1187,"Waxahachie, TX",1
1227,"Waxhaw, NC",1
2381,"Wayland, MA",1
1881,"Wayne, NJ",1
2337,"Waynesboro, PA",1
546,"Waynesboro, VA",2
1516,"Waynesville, NC",1
1733,"Weatherford, TX",1
1604,"Weaverville, CA",1
2573,"Weaverville, NC",1
2051,"Webster Groves, MO",1
721,"Webster, MA",2
1506,"Wellfleet, MA",1
1693,"Wellington, CO",1
1112,"Wellington, FL",1
2603,"Wellington, KS",1
2217,"Wellsville, NY",1
324,"Wenatchee, WA",3
1058,"Wendell, MA",1
1875,"West Chester Twp, OH",1
363,"West Chester, PA",3
524,"West Covina, CA",2
191,"West Hartford, CT",4
1438,"West Haven, CT",1
2207,"West Hempstead, NY",1
549,"West Hollywood, CA",2
1812,"West Islip, NY",1
2151,"West Jefferson, NC",1
1298,"West Melbourne, FL",1
1054,"West Newbury, MA",1
1431,"West Orange, NJ",1
184,"West Palm Beach, FL",4
1653,"West Plains, MO",1
2370,"West Point, NY",1
1434,"West St. Paul, MN",1
2520,"Westcliffe, CO",1
1087,"Westerly, RI",1
1120,"Westerville, OH",1
1555,"Westfield, MA",1
398,"Westfield, NJ",3
1537,"Westland, MI",1
1626,"Westminster, CA",1
210,"Westminster, MD",4
2618,"Westmont, NJ",1
1575,"Westmoreland, NY",1
2228,"Weston, CT",1
712,"Weston, FL",2
489,"Westport, CT",2
2356,"Westwood, Los Angeles, CA",1
1697,"Wethersfield, CT",1
2435,"Wheaton, IL",1
1380,"Wheeling, WV",1
420,"White Plains, NY",3
239,"Whitefish, MT",4
2290,"Whitewater, WI",1
789,"Whitman, MA",2
659,"Whittier, CA",2
687,"Wichita Falls, TX",2
90,"Wichita, KS",7
2212,"Wildwood, MO",1
1682,"Wildwood, NJ",1
102,"Wilkes-Barre, PA",6
288,"Williamsburg, VA",3
893,"Williamson, WV",2
545,"Williamsport, PA",2
1704,"Williamstown, MA",1
149,"Willingboro, NJ",5
1566,"Williston, ND",1
1601,"Willits, CA",1
849,"Willmar, MN",2
1992,"Wilmar, MN",1
883,"Wilmington, DE",2
1208,"Wilmington, MA",1
139,"Wilmington, NC",5
577,"Wilmington, OH",2
1073,"Wilmington, VT",1
837,"Wilson, NC",2
1047,"Wilton, CT",1
872,"Wimberley, TX",2
683,"Winchester, KY",2
2030,"Winchester, TN",1
911,"Winchester, VA",2
335,"Windermere, FL",3
1677,"Windham, CT",1
1243,"Windsor Locks, CT",1
656,"Windsor, CT",2
2601,"Winfield, IL",1
227,"Winfield, KS",4
2450,"Winnetka, IL",1
2264,"Winnsboro, LA",1
1182,"Winona, MN",1
25,"Winston-Salem, NC",10
1251,"Winthrop, WA",1
2006,"Wiscasset, ME",1
1930,"Wisconsin Rapids, WI",1
1802,"Woburn, MA",1
1217,"Wolcott, CT",1
1171,"Woodbridge, VA",1
1289,"Woodburn, OR",1
1625,"Woodbury, CT",1
1780,"Woodbury, MN",1
1145,"Woodcreek, TX",1
916,"Woodland, CA",2
1156,"Woodstock, CT",1
787,"Woodstock, GA",2
1805,"Woodstock, IL",1
941,"Woodstock, VT",1
1987,"Woodward, OK",1
2593,"Woonsocket, RI",1
29,"Wooster, OH",10
218,"Worcester, MA",4
2554,"Worthington, MN",1
2075,"Wylie, TX",1
2606,"Wynnwood, FL",1
1281,"Wytheville, VA",1
452,"Xenia, OH",2
345,"Yachats, OR",3
1852,"Yakima, WA",1
1234,"Yankton, SD",1
2583,"Yardley, PA",1
958,"Yellow Springs, OH",1
255,"Yonkers, NY",3
1250,"Yorba Linda, CA",1
1387,"York City, PA",1
1324,"York, ME",1
88,"York, PA",7
1089,"York, SC",1
1354,"Yorkville, IL",1
583,"Youngstown, OH",2
169,"Ypsilanti, MI",5
1616,"Yreka, CA",1
511,"Yucaipa, CA",2
1313,"Yucca Valley, CA",1
673,"Yuma, AZ",2
2604,"Zagreb, Croatia",1
570,"Zanesville, OH",2
