id,date,city_st,location,size,size_str,urls,collection
30116,2020-05-30,"Kapolei, HI","Kapolei, HI",,nan,['https://www.hawaiinewsnow.com/2020/05/30/packed-peaceful-black-lives-matter-protesters-take-streets-oahu/'],Count Love
30119,2020-05-30,"Norfolk, VA","Norfolk, VA",100.0,100.0,"['https://www.13newsnow.com/article/news/local/mycity/norfolk/demonstrators-march-in-norfolk-rally-outside-police-operations-center/291-6722fe37-369b-470c-b881-610b0d00e69c', 'https://www.news4jax.com/news/national/2020/05/31/protesters-in-some-cities-target-confederate-monuments/']",Count Love
30122,2020-05-30,"Phoenix, AZ","Phoenix, AZ",200.0,200.0,"['https://www.azcentral.com/story/news/local/phoenix-breaking/2020/05/30/third-night-protests-after-officials-warn-criminal-behavior-wont-tolerated/5293224002/', 'https://www.azcentral.com/story/news/local/phoenix/2020/06/08/police-make-no-arrests-sunday-protests-phoenix-and-scottsdale/5318110002/', 'https://www.abc15.com/news/region-phoenix-metro/central-phoenix/mayor-kate-gallego-expected-to-address-rallies-in-phoenix']",Count Love
30142,2020-05-30,"Yellow Springs, OH","Yellow Springs, OH",100.0,100.0,['https://www.daytondailynews.com/news/hundreds-join-yellow-springs-protest-about-george-floyd-death/h8Q3jfxHE6DzAcRIyLsLuN/'],Count Love
30144,2020-05-30,"Manchester, NH","Veterans Park, Manchester, NH",800.0,800.0,"['https://www.unionleader.com/news/safety/hundreds-gather-in-manchester-to-protest-minneapolis-mans-death-in-police-custody-two-arrested-after/article_0b9f5258-751d-5fc7-bd2a-17bd0316996b.html', 'https://www.boston.com/news/local-news/2020/05/31/manchester-police-2-arrested-after-showing-gun-in-altercation-with-protesters']",Count Love
30148,2020-05-30,"Bridgeport, CT","Bridgeport, CT",150.0,150.0,"['https://www.mysanantonio.com/news/article/The-Latest-Minn-Gov-Fully-mobilize-state-15305329.php', 'https://www.courant.com/news/connecticut/hc-news-george-floyd-connecticut-protest-84-20200531-20200531-iqrb2lcypvewddnaqgg6wysxmu-story.html', 'https://www.ctpost.com/local/article/Protesters-stand-in-solidarity-as-CT-15312270.php', 'https://www.ctinsider.com/news/thehour/article/Protesters-police-find-common-ground-in-CT-as-15323230.php']",Count Love
30149,2020-05-30,"Pueblo, CO","Pueblo, CO",20.0,20.0,['https://www.koaa.com/news/covering-colorado/demonstrators-march-in-pueblo'],Count Love
30150,2020-05-30,"Ogden, UT","Ogden, UT",1000.0,1000.0,"['https://www.sltrib.com/news/2020/05/30/rally-protests-death', 'https://www.fox13now.com/news/local-news/demonstrators-take-a-knee-in-ogden-peaceful-protest', 'https://www.standard.net/news/government/ogden-area-advocates-for-police-reform-to-redouble-push-after-george-floyd-rally/article_e2974efa-7628-5afe-80f3-fd8d1c39b890.html']",Count Love
30157,2020-05-30,"Las Cruces, NM","Las Cruces, NM",40.0,40.0,['https://kvia.com/news/new-mexico/2020/05/30/dozens-gather-along-las-cruces-main-street-for-peaceful-protest-of-george-floyd-death/'],Count Love
30159,2020-05-30,"Athens, OH","Athens, OH",100.0,100.0,"['https://www.athensmessenger.com/multimedia/black-lives-matter-protest-in-downtown-athens/collection_e39b3b1e-e403-5daa-add3-2a90c0516bd9.html', 'https://www.wtap.com/content/news/Athens-community-comes-together-for-Black-Lives-Matter-protest-570901761.html']",Count Love
30160,2020-05-30,"Montgomery, AL","Montgomery, AL",100.0,100.0,"['https://www.wsfa.com/2020/05/30/large-crowd-rallies-alabama-capitol-protests-death-george-floyd/', 'https://www.montgomeryadvertiser.com/story/news/2020/05/30/montgomery-protesters-decry-george-floyds-murder-steven-reed-lynching-alabama-capitol/5293099002/']",Count Love
