city,text,state,references
Asbury Park,Hundreds protested from 5 pm to 8 pm on June 1.,New Jersey,"['http://newjersey.news12.com/story/42197731/antipolice-brutality-rally-held-in-asbury-park-in-wake-of-george-floyd', 'https://www.app.com/story/news/2020/06/01/curfew-set-asbury-park-ahead-justice-george-floyd-protest/5311591002/']"
Atlantic City,About 100 people protested near Tanger Outlets on May 31.,New Jersey,['https://www.nj.com/atlantic/2020/05/peaceful-protests-in-atlantic-city-turn-to-looting-damage-of-stores-police-enact-curfew.html']
Bayonne,"On June 7, about 1,000 people marched, kneeled, and came together in Stephen R. Gregg Park. The protest also included a celebration of “Black Bayonne,” which included music and poetry from speakers.",New Jersey,['https://www.nj.com/hudson/2020/06/bayonne-protesters-demand-change-say-demonstrations-are-the-first-step.html']
Bordentown,"On May 31, over 100 protesters gathered at an intersection in Bordentown City for a candlelight vigil and rally to show that “all lives cannot matter until black lives matter.”",New Jersey,['https://www.burlingtoncountytimes.com/news/20200531/bordentown-city-vigil-all-lives-cannot-matter-until-black-lives-matterrsquo']
Brick,"On June 8, about 300 protesters gathered for a protest near Windward Beach Park.",New Jersey,['https://www.app.com/story/news/2020/06/08/nj-protests-asbury-park-george-floyd/5318765002/']
Caldwell,"On June 2, protesters marched from Grover Cleveland Park to the gazebo.",New Jersey,['https://patch.com/new-jersey/caldwells/george-floyd-protest-march-planned-caldwell-west-caldwell']
Camden,"Hundreds demonstrated in a peaceful march to protest police brutality in the city on May 30. Camden County Police marched alongside demonstrators. The police chief helped hold a ""Standing in Solidarity"" banner at the front of the march.",New Jersey,['https://www.courierpostonline.com/story/news/2020/05/30/camden-police-administration-building-protest-george-floyd/5293075002/']
Cape May,"On June 5, Cape May County NAACP hosted a protest at Superior Court, 9 N. Main St, Cape May Court House.",New Jersey,['https://www.pressofatlanticcity.com/gallery/photos-from-fridays-protest-in-cape-may-court-house/collection_f6ace124-b02a-5a78-9245-1eb7d591d3fc.html']
Cherry Hill,"On June 5, hundreds of people protested by symbolically lying in the street for nearly nine minutes, blocking traffic on Haddonfield Road in Cherry Hill.",New Jersey,['https://philadelphia.cbslocal.com/2020/06/05/hundreds-peacefully-protest-police-brutality-in-cherry-hill/']
Clark,"On June 12, about 50 protesters marched from Greenfield Madison Avenue Park in Rahwah to the Clark Municipal Building where they called on Clark Mayor Sal Bonaccorso to apologize for remarks stating ""I am pro-black for all the good black people that I know in my life,"" and other off-color remarks. The mayor addressed the crowd, only saying that he was sorry if anything he said offended anyone.",New Jersey,['https://www.tapinto.net/towns/scotch-plains-slash-fanwood/sections/union-county-news/articles/despite-clark-mayor-s-apology-protesters-chant-vote-him-out-plan-continued-protests']
Clifton,"On June 2, over 400 protesters gathered at Clifton Town Hall before marching down Clifton Avenue and Main Avenue to Passaic City Hall.",New Jersey,['https://www.nj.com/hudson/2020/06/bayonne-protesters-demand-change-say-demonstrations-are-the-first-step.html']
Cranford,"On June 2, a protest occurred in Cranford.",New Jersey,['https://www.nj.com/hudson/2020/06/bayonne-protesters-demand-change-say-demonstrations-are-the-first-step.html']
East Brunswick,"On June 12, about 200 people protested at the township's municipal center.",New Jersey,['https://www.tapinto.net/towns/east-brunswick/sections/government/articles/east-brunswick-black-lives-matter-protest-a-moment-and-a-memorial']
Elizabeth,"On June 6, hundreds of protesters marched from City Hall to the Union County Courthouse. Among those marching was the mother of Eric Garner, who was killed by police officers in a similar manner to George Floyd.",New Jersey,['https://www.mycentraljersey.com/story/news/local/union-county/2020/06/07/hundreds-rally-elizabeth-am-going-next-george-floyd/3169947001/']
Englewood,"More than 1,000 people rallied in Mackay Park on May 30 before peacefully marching to the Englewood Police Station.",New Jersey,['https://www.northjersey.com/story/news/local/2020/05/30/nj-protests-thousands-rally-newark-englewood-george-floyd/5287303002/']
Franklin,"On May 31, hundreds of people protested in a march that began and ended at Franklin Middle School at Hamilton Street Campus in Franklin Township, Somerset County.",New Jersey,"['https://www.tapinto.net/towns/franklin-township/articles/hundreds-march-in-franklin-to-protest-the-killing-of-george-floyd-b740de7d-67ea-4e89-a41c-8e0287539c85', 'https://www.tapinto.net/towns/franklin-township/sections/education/articles/franklin-high-school-alum-leads-2nd-peaceful-protest-in-front-of-police-headquarters']"
Franklinville,"On June 8, about 70 protesters marched in Franklin Township, Gloucester County past a group of counterprotestors with All Lives Matter and Trump signs who mockingly re-enacted George Floyd's death, with one man kneeling on the neck of another. The mayor and police chief of Franklin Township condemned the display. The state Department of Corrections suspended an employee at Bayside State Prison who was confirmed to among the group and PBA Local 105, the New Jersey corrections officer union, issued a condemnation. FedEx fired an employee who participated in the counterdemonstration.",New Jersey,"['https://www.nytimes.com/2020/06/09/nyregion/james-demarco-franklinville-george-floyd-protest.html?action=click&algo=top_conversion&block=trending_recirc&fellback=false&imp_id=978834682&impression_id=932961815&index=0&pgtype=Article&region=footer', 'https://6abc.com/community-events/protesters-return-to-franklinville;-philly-rally-closes-streets/6246306/']"
Flemington,"On June 1, about 100 people protested at the borough park behind the historic Hunterdon County Courthouse. Mayor Betsy Driver posted on Facebook: “This event has not been issued a permit and the leadership behind it is unknown.”",New Jersey,"['https://www.tapinto.net/towns/flemington-slash-raritan/articles/peaceful-protest-held-in-flemington-borough-park-in-response-to-the-killing-of-george-floyd', 'http://newjersey.news12.com/story/42219316/around-1000-people-march-in-the-streets-of-flemington']"
Florham Park,"On June 20, about 1000 protesters organized by Black Lives Matter Morristown and Wind of the Spirit marched from Madison High School to Emmett Park in front of the Florham Park Police Department.",New Jersey,['https://dx.doi.org/10.2979/transition.125.1.11']
Freehold Township,"On May 30, about 35 people displayed signs along a highway in a demonstration called ""March on Route 9"".",New Jersey,"['https://midjersey.news/2020/05/30/march-on-route-9-for-george-floyd-protest-held-in-freehold/', 'https://www.app.com/story/news/local/communitychange/2020/06/02/george-floyd-freehold-protest/3123952001/', 'https://patch.com/new-jersey/freehold/freehold-floyd-protest-grows-tense-hear-what-we-have-say']"
Glassboro,"On May 31, a protest occurred. Police Chief John Polillo addressed the crowd.",New Jersey,['https://www.nj.com/hudson/2020/06/bayonne-protesters-demand-change-say-demonstrations-are-the-first-step.html']
Glen Ridge,"On May 31, more than 100 protesters assembled together.",New Jersey,['https://www.tapinto.net/towns/montclair/sections/essex-county-news/articles/protests-in-glen-ridge-draws-crowd-calling-for-justice-in-george-floyd-killing']
Highland Park,"On June 2, more than 1000 protesters marched through the borough to the Raritan Bridge and Highland Park High School to hear community leaders speakers.",New Jersey,"['https://www.mycentraljersey.com/story/news/local/2020/06/03/george-floyd-nj-protesters-march-his-honor-highland-park/3132244001/', 'https://patch.com/new-jersey/woodbridge/watch-video-peaceful-highland-park-protest-tuesday-night']"
Hightstown,"On June 2, a Black Lives Matter protest marched from Hightstown High School to the center of town and back. Police officers ""took a knee"" when requested.",New Jersey,['https://midjersey.news/2020/06/02/black-lives-matter-protest-in-hightstown/']
Hackensack,"On June 4, hundreds of protesters gathered in front of the Hackensack courthouse.",New Jersey,"['https://www.northjersey.com/picture-gallery/news/bergen/hackensack/2020/06/04/nj-protest-photos-hundreds-protesting-hackensack/3148765001/', 'https://www.boston.com/news/national-news-2/2020/06/06/surfers-honor-george-floyd-in-paddle-out-held-around-world']"
Hackettstown,"On June 1, about 50 protesters marched on Main Street between the Municipal Building and the Civil War Memorial. One counter-protester appeared.",New Jersey,['https://wrnjradio.com/dozens-in-hackettstown-protest-george-floyd-killing/']
Haddonfield,"On May 31, more than 300 protestors marched through downtown Haddonfield in protest of police brutality.",New Jersey,['https://www.courierpostonline.com/story/news/local/south-jersey/2020/06/01/peaceful-protesters-march-haddonfield-protest-racist-violence/5301908002/']
Hoboken,"Protestors variously estimated at ""more than 1,000"" and ""10,000"" peacefully marched from Maxwell Place Park to Pier A Park on June 5. A group of protesters gathered at Hoboken City Hall. Most businesses had boarded their windows in fear; one business displayed a sign that read ""United"" and handed out free pizza and soda to demonstrators. Mayor Ravi Bhalla addressed the rally.",New Jersey,"['https://www.nj.com/hudson/2020/06/protesters-10000-strong-rally-in-hoboken-against-police-brutality.html', 'https://www.northjersey.com/story/news/hudson/2020/06/05/george-floyd-protests-nj-hoboken-nj-over-1000-protesters-march/3158208001/']"
Jersey City,"On June 1, hundreds marched to the South District police precinct organized by the ""Black Men United Coalition."" Another organizer said that if looters can change the narrative surrounding protests around the country, ""bad cops"" can do the same for law enforcement.",New Jersey,['https://www.nj.com/hudson/2020/06/peaceful-rally-in-jersey-city-calls-for-an-end-to-police-brutality-justice-for-george-floyd.html']
Lakewood,"On June 6, over 100 people participated in a protest in honor of George Floyd. The March had started at Clifton Avenue Grade School and ended at the Red square between 3rd and 4th street. It has started at 1 p.m. and ended around 3 p.m. Police officers had supported the protest and were on standby if any violent behavior were to occur.",New Jersey,['https://patch.com/new-jersey/lakewood-nj/lakewood-george-floyd-protest-emphasizes-unity-photos']
Long Branch,"On May 31, hundreds of protesters gathered at the Pier Village shopping center to chant and speak out about police injustice. At one point, they broke the chanting to kneel in silent unison in front of police.",New Jersey,['https://www.app.com/story/news/local/communitychange/2020/05/31/george-floyd-long-branch-protest-killing-black-man-police/5301565002/']
Millburn,"On May 31, approximately 150 protesters waved signs along Millburn Avenue.",New Jersey,['https://www.tapinto.net/towns/millburn-slash-short-hills/sections/community-life/articles/millburn-residents-hold-black-lives-matter-rally-following-murder-of-george-floyd']
Millville,"On May 30, nearly 75 demonstrators gathered near City Hall.",New Jersey,['https://www.nj.com/hudson/2020/06/bayonne-protesters-demand-change-say-demonstrations-are-the-first-step.html']
Monroe Township,"On June 7, over 100 protesters in Monroe Township went to Thompson Park; a park shared by Jamesburg and Monroe. The protests were peaceful.",New Jersey,['http://newjersey.news12.com/story/42219612/black-lives-have-to-matter-monroe-township-students-hold-rally-in-name-of-george-floyd']
Montclair,"On June 6, an estimated 1000 people peacefully marched through the streets of Montclair and afterwards, in Crane Park, there were several people who spoke passionately to the crowd. ",New Jersey,['https://www.montclairlocal.news/2020/06/06/montclairs-black-lives-matter-crack-the-blue-wall-rally-draws-1000-marchers-brief/']
Morristown,"On May 30, approximately 200 to 300 people drove and marched peacefully through Morristown and neighboring Morris Township.",New Jersey,['https://morristowngreen.com/2020/05/31/activists-rally-in-morristown-morris-township-to-demand-justice-for-george-floyd/']
Newark,"A crowd of some 12,000 protesters marched peacefully down Market Street on May 30 at a rally organized by ""People's Organization for Progress.""",New Jersey,"['https://www.northjersey.com/story/news/local/2020/05/30/nj-protests-thousands-rally-newark-englewood-george-floyd/5287303002/', 'https://abc7ny.com/6227622/']"
New Brunswick,"On May 30, about 300 protesters shouted ""Black Lives Matter!"" and ""No Justice, No Peace!"" at Feaster Park where the shooting of Barry Deloatch occurred in 2011.",New Jersey,['https://www.tapinto.net/towns/new-brunswick/sections/police-and-fire/articles/300-march-in-new-brunswick-to-protest-george-floyd-s-death']
Newton,"On June 6, approximately 300 to 400 protestors gathered on the Newton Green after hundreds marched from Memory Park along Spring Street.",New Jersey,"['https://www.njherald.com/news/20200603/peaceful-protest-planned-for-newton-green-saturday', 'https://www.njherald.com/news/20200606/protests-seek-equality-for-black-residents']"
Nutley,"On June 7, about 600 people rallied together in Yanticaw Park and listened to several speakers before having an 8 minute, 46 second kneeling moment of silence and then marching through the town.",New Jersey,['https://www.tapinto.net/articles/nutley-s-yanticaw-park-filled-with-strength-courage-and-wisdom-during-black-lives-matter-protestNutley’s']
