city,text,state,references
Century City," June 6:  Around 600 people protested peacefully. The demonstrators then protested outside the ICM Partners Building, where speakers spoke to the crowd.",California,['https://www.nbclosangeles.com/news/local/protests-los-angeles-george-floyd-justice-police-marches/2375892/']
Cerritos, June 1:  Hundreds protested at Gridley Park and City Hall.,California,['http://lmlamplighter.com/hundreds-attend-floyd-protests-in-cerritos/']
Claremont, June 1:  over 100 protesters gathered at the corner of Indian Hill Boulevard and Foothill Boulevard at 3 p.m. They marched down Indian Hill Boulevard to Memorial Park. The event was organized by a group of students from Claremont High School.,California,['https://www.claremont-courier.com/articles/news/t37511-protest']
Compton," Thousands attended two Black Lives Matter protests on June 7, including famous natives of the city Kendrick Lamar and Demar Derozan, as well as Hawthorne native Russell Westbrook.",California,['https://www.foxla.com/video/692408']
Culver City, June 5:  More than 300 people protested peacefully in Veterans Park.,California,['https://www.dailynews.com/2020/06/05/300-plus-culver-city-demonstrators-call-for-justice-amid-week-of-george-floyd-protests/']
Diamond Bar, Between 800 and 1000 protesters gathered and marched in Diamond Bar on June 4 at 1: 00 pm. The protest was declared an unlawful assembly after protesters blocked traffic at an intersection. The crowd panicked once a sheriff's deputy shot pepper balls at the asphalt.,California,"['https://www.sgvtribune.com/2020/06/04/hundreds-gather-in-diamond-bar-to-protest-police-violence-honor-george-floyd/', 'https://abc7.com/diamond-bar-protest-black-lives-matter-pepper-balls-shot-george-floyd/6232607/']"
Downey, Hundreds marched down Firestone Boulevard between the Downey Promenade and downtown Downey.,California,['https://www.presstelegram.com/hundreds-gather-for-george-floyd-inspired-march-in-downey']
Downtown Los Angeles, Protesters blocked traffic and threw rocks at the windows of businesses and passing vehicles.,California,"['https://www.latimes.com/california/story/2020-05-29/protesters-outraged-over-george-floyd-death-shut-down-101-freeway-in-san-jose', 'https://edition.cnn.com/us/live-news/george-floyd-protests-05-30-20/h_bed8d49b7f61868628d1a4466ca5b91c', 'https://edition.cnn.com/us/live-news/george-floyd-protests-05-31-20/h_a1c52a63ba8182b0d9fd28c5a709e31c', 'https://www.thedailybeast.com/los-angeles-police-officer-put-in-chokehold-and-kicked-as-anti-police-brutality-protests-turned-violent', 'https://www.dailynews.com/dozens-arrested-in-downtown-los-angeles-tuesday-night-after-day-of-peaceful-protests']"
El Monte," Speakers in the protest said ""All lives matter"" instead of ""Black lives matter"", which caused many people to go onto social media to criticize the speakers.",California,['https://heavy.com/news/2020/06/el-monte-protests-all-lives-matter/']
Fairfax District," May 30:  Thousands of protesters began their march at Pan Pacific Park then spread out towards West Hollywood, Beverly Hills, and other areas. Stores and police cars were vandalized on Beverly Boulevard near the shopping center The Grove.",California,"['https://laist.com/2020/05/30/los-angeles-george-floyd-protests-day-four.php', 'https://losangeles.cbslocal.com/2020/05/30/hundreds-gather-in-fairfax-district-as-part-of-latest-protest-over-deadly-arrest-of-george-floyd/', 'https://abc7.com/6231194/']"
Glendora," June 1:  a protest of over 100 demonstrators started at 2 p.m. at the corner of Route 66 and South Grand Avenue. Protesters chanted ""I can't breathe"" and ""No justice, no peace"". A moment of silence was held for eight minutes, and five members of the Glendora Police Department knelt with the protesters.",California,['https://www.dailybulletin.com/2020/06/01/over-100-protest-the-death-of-george-floyd-in-glendora/']
Hancock Park," June 2:  Protesters chanted ""Defund the Police"" outside Los Angeles Mayor Garcetti's house.",California,['https://losangeles.cbslocal.com/video/4575151-protestors-chant-defund-the-police-outside-of-mayor-eric-garcettis-home-in-hancock-park/']
La Cañada Flintridge, May 31:  Hundreds of protesters gathered at the intersection of Angeles Crest Highway and Foothill Boulevard.,California,['https://www.crescentavalleyweekly.com/news/05/31/2020/la-canada-holds-protest/']
La Crescenta-Montrose, June 1:  Around 20 protested at Demoret Park. June 2:  Around 100 protesters gathered at Demoret Park.,California,"['https://www.montrosepress.com/news/residents-gather-in-montrose-for-second-day-of-protests-of-floyd-killing-racial-injustice/article_a59ac394-a5b2-11ea-a400-938d2a91d6bd.html', 'https://www.montrosepress.com/news/hundreds-gather-for-walk-of-solidarity-protest-in-montrose-on-saturday/article_a71e9514-a83d-11ea-b176-3f969a207051.html']"
La Puente," June 3:  Hundreds of people protested at the intersection of Hacienda Boulevard and Amar Road, chanting ""No Justice, No Peace.""",California,['https://www.sgvtribune.com/curbside-protest-underway-in-la-puente']
La Verne," June 3:  Hundreds of people gathered outside City Hall, including the city's mayor, Tim Hepburn.",California,['https://www.dailybulletin.com/hundreds-demand-change-in-la-verne-after-death-of-george-floyd']
Lakewood," On June 5, a group of roughly 500 protesters walked from Long Beach City College to Lakewood City Hall.",California,['https://ktla.com/news/local-news/deputies-deploy-pepper-ball-rounds-smoke-as-lakewood-protest-ends-in-very-ugly-way/']
Long Beach," On May 31, hundreds of protesters showed up to condemn police brutality on Ocean Avenue. There were reports of heavy looting and vandalism at 5 p.m. at the Pike Outlets.",California,['https://www.latimes.com/california/story/2020-05-31/long-beach-mall-looters-protesters-pike-outlets']
Malibu," On June 8, about 200 people showed up at Zuma Beach for the city's largest Black Lives Matter protest yet.",California,['https://www.radiomalibu.net/malibu-blm-paddle-out-was-biggest-political-demonstration-here-in-years/']
Manhattan Beach, June 6:  More than 500 protesters marched from the Manhattan Beach Pier to the Hermosa Beach border. The protest was kid-friendly and its goal was to educate kids about racism.,California,['https://www.dailynews.com/2020/06/06/500-plus-attend-manhattan-beachs-burst-the-bubble-on-racism-protest-for-kids/']
Montebello," June 4:  Hundreds of people gathered outside Montebello Park, with organizers stating they feared little repercussions for racist-inspired violence.",California,['https://www.whittierdailynews.com/montebello-turns-out-in-protest-of-george-floyds-death']
Monrovia," On June 1 and 2, ""at least 400 people"" marched peacefully around Myrtle Ave. beginning from the Monrovia Public Library. The demonstrators held up signs and chanted while they circled the street. Several police offers were present and kneeled in with protesters.",California,['https://www.monroviaweekly.com/news/monrovia-youth-peacefully-protest-at-library-park-and-march-on-myrtle-ave/']
Palmdale,,California,[]
Palos Verdes Estates," On June 1, 2020, about 150 people protested outside of the Palos Verdes Estates police station. The majority of the protest was made up of recent high school graduates and their families and children. The demonstrators also held up signs and chanted at the intersection at Malaga Cove Plaza.",California,['https://www.dailybreeze.com/2020/06/01/young-people-families-in-palos-verdes-estate-protest-police-violence/']
Pasadena," On May 30, 2020 6: 30pm Protesters gathered at Colorado Blvd and Fair Oaks Ave. The city declared a local state of emergency and ordered an 8 p.m. curfew.",California,"['https://www.pasadenanow.com/main/demonstrators-protesting-death-of-george-floyd-descend-on-old-pasadena/', 'https://www.capitalgazette.com/news/ac-cn-pasadena-protest-20200606-bvzuoeaehfh5ddpasukyqbfbge-story.html']"
Pomona," On May 30, 2020, about 250 people protested.",California,['https://www.dailybulletin.com/about-250-protest-george-floyd-killing-in-pomona']
Rancho Palos Verdes," On June 1, about 150 protesters (mostly recent high school graduates) demonstrated outside of the city's police station to support the Black Lives Matter movement and against police brutality.",California,['https://www.pvnews.com/news/peaceful-demonstration-in-palos-verdes-estates-is-what-protesting-is-supposed-to-be-about-says/article_75a70280-a443-11ea-aec0-0b83a33443eb.html']
Redondo Beach," On June 3, about 80 protesters gathered at the intersection of Hawthorne and Artesia Boulevards, carrying signs saying ""Black Lives Matter"".",California,"['https://www.dailybreeze.com/dozens-gather-in-redondo-beach-wednesday-afternoon-to-demand-justice-for-george-floyd', 'https://tbrnews.com/news/more-than-200-protest-police-brutality-in-redondo-beachs-miramar-park/article_8e3cf27a-a770-11ea-9463-47e30afd853b.html']"
Rowland Heights," June 6:  At least 200 Rowland Heights residents held signs and flowers as they marched from Gloria Heer Park to Schabarum Park. People also chanted words and phrases calling for justice and ""no racist police"" on Colima Road.",California,['http://www.uscannenbergmedia.com/2020/06/10/residents-of-the-rowland-heights-area-join-in-flowers-for-floyd/']
San Dimas," On June 5, 2020, about 100 protesters demonstrated outside San Dimas City Hall, chanting ""Black lives matter"".",California,['https://www.dailybulletin.com/2020/06/05/protesters-in-san-dimas-demand-end-to-police-brutality/']
Santa Clarita," June 4:  Hundreds of protesters gathered at the civic center and marched to the Valencia Town Center and business district. The National Guard was deployed, but no force was used.
California National Guard in Santa Monica on June 7",California,['https://signalscv.com/2020/06/hundreds-turn-out-for-protest-march-in-scv/']
Santa Monica,,California,[]
[154] Some protesters refused to disperse after the 4,00 p.m. curfew and engaged in standoffs with police.,California,"['https://www.nbclosangeles.com/news/local/peaceful-santa-monica-protest-marred-by-nearby-looting/2371742/', 'https://www.latimes.com/california/story/2020-05-31/looters-hit-santa-monica-place-mall-even-as-protesters-march-peacefully', 'https://twitter.com/SantaMonicaPD/status/1267321564191584256']"
Sierra Madre, June 4:  A few hundred people gathered at a rally at Sierra Vista Park that included speeches and a sing-along commemorating Floyd's death.,California,['https://www.pasadenastarnews.com/sierra-madres-protest-in-the-park-looked-a-little-different']
South Pasadena," On June 10, over 100 protesters surrounded South Pasadena City Hall in solidarity and to demand police reform. The group that organized the protest, the South Pasadena Youth for Police Reform, compiled a list of 21 demands for amending and reforming what they believe to be an outdated structure for local law enforcement.",California,['https://southpasadenan.com/blm-protests-in-south-pasadena-many-voices-unite-at-city-hall/']
Torrance," On May 31, 2020, several hundred demonstrators held up signs and laid down on the ground at Torrance City Hall.",California,['https://www.newsbreak.com/california/torrance/news/0PCpTEQa/after-torrance-declares-curfew-hundreds-protest-death-of-george-floyd-at-city-hall']
Van Nuys," On June 1, 2020, more than 100 people were arrested after police declared an unlawful assembly and began dispersing the crowd at a protest near the Valley Municipal Building. Looting and vandalism occurred in the surrounding area as the crowd broke up.",California,['https://abc7.com/van-nuys-protest-los-angeles-george-floyd/6225597/']
Walnut," On June 1, 2020, more than 100 people attended a protest near Mt. San Antonio College. Several of the protesters walked down to the Walnut/Diamond Bar Sheriff Station to continue their protest.",California,['https://www.sgvtribune.com/2020/06/01/crowd-gathers-for-peaceful-protest-in-walnut/']
West Covina," On June 1, 2020, a four-hour peaceful protest took place where demonstrators walked to the 10 Freeway overpass from nearby parking lots. At one point, the demonstrators laid down on the overpass. By mid-afternoon, there were around 170 people that participated in the event.",California,['https://www.whittierdailynews.com/2020/06/01/entrances-to-west-covina-shopping-center-closed-due-to-protest/']
West Hollywood," On June 3, thousands of people marched up and down Santa Monica Boulevard to peacefully protest the death of George Floyd and violence inflicted by the police on black people. The crowd was overwhelmingly young, with most of the protesters being white along with some black and Asian protesters as well. City councilmember John D'Amico was among the protesters. The demonstrators marched west from the intersection of Santa Monica Boulevard and La Cienega Boulevard to reach San Vincente Boulevard. From there, the protesters turned to face the West Hollywood's Sheriff's Station. The crowd chanted “What do we want? Justice! When do we want it? Now!”, “Prosecute Killer Cops”, and “I Can’t Breathe.” The protesters also kneeled for 8 minutes and 46 seconds to commemorate the time that Minneapolis police officer Derek Chauvin kneeled on George Floyd's neck",California,['https://www.wehoville.com/2020/06/03/thousands-march-in-peaceful-west-hollywood-protest-against-police-brutality/']
"Westwood, Los Angeles"," June 4:  More than 1,000 people gathered outside of UCLA's Royce Hall and marched towards the UCLA Police Department.",California,['https://www.dailynews.com/2020/06/04/more-than-1000-protest-in-westwood-with-ucla-police-arrest-center-in-mind/']
Whittier," May 31:  Hundreds of people marched in the Uptown business district. On June 2, hundreds of people marched from Central Park to the police station, chanting ""I Can't Breathe.""
Orange County",California,['https://www.lataco.com/whittier-progressive-cruise/']
Aliso Viejo, A peaceful protest over the 73 roll road on Pacific Park Highway on 6/2/2020,California,['https://www.youtube.com/watch?v=CNgsgpdpIwI']
Anaheim," June 1:  More than 500 protesters marched from La Palma Park to Anaheim City Hall. A city curfew was declared for 7pm, followed by 25 arrests. No looting was reported.",California,['https://www.ocregister.com/police-report-25-arrests-during-anaheim-protests-that-drew-hundreds']
Brea, June 2:  Hundreds of demonstrators participated in a march which included a silent protest in which they knelt in front of police officers.,California,['https://abc7.com/6227842/']
Costa Mesa," On June 4, 2020, around 500 demonstrators protested on Newport Blvd., while chanting and carrying signs. The protests started at around 4 p.m. in a parking lot at a Vons.",California,['https://www.ocregister.com/2020/06/04/hundreds-march-in-costa-mesa-for-george-floyd-protest-police/']
Cypress," On June 5, 2020, protesters waved signs while marching on Katella Ave. to Winner's Circle. Hundreds of demonstrators attended the protest.",California,['http://www.oc-breeze.com/2020/06/06/182975_room-with-a-view-what-i-saw-at-the-cypress-protest-march/']
Dana Point," On June 5, about a thousand protesters demonstrated at Dana Point Harbor to condemn the death of George Floyd and police brutality.",California,['https://www.danapointtimes.com/second-blm-supporting-protest-dana-point-draws-thousand/']
Huntington Beach," More than 500 people demonstrated at the Huntington Beach Pier at 11: 30am on May 31. It was declared an unlawful assembly by 1pm after counter-protesters showed up.
Protest at Irvine Civic Center on June 2",California,"['https://www.nbclosangeles.com/news/local/huntington-beach-pier-protest-ended-by-police/2371698/', 'https://voiceofoc.org/2020/05/huntington-beach-protest-against-floyd-police-killing-declared-unlawful-by-police-after-counter-demonstrators-show-up/']"
Irvine, May 31:  dozens peacefully protested at Irvine City Hall.,California,"['https://www.ocregister.com/black-lives-matter-protest-in-irvine-is-peaceful', 'https://www.ocregister.com/protesters-kneel-as-passing-cars-honk-during-demonstration-at-irvine-city-hall-june-2']"
La Habra, June 3:  At least 200 protesters gathered to support the Black Lives Matter movement and protest the Killing of George Floyd in La Bonita Park.,California,['https://www.ocregister.com/people-gather-in-la-habra-to-protest-the-death-of-george-floyd']
Laguna Beach, At least 100 protesters appeared at Main Beach in Laguna Beach to protest police brutality and systemic racism.,California,['https://www.latimes.com/socal/daily-pilot/news/story/2020-06-05/laguna-beach-natives-come-home-to-lead-black-lives-matter-protest-at-main-beach']
Los Alamitos," About 100 students and a few adults gathered near Los Alamitos High School to protest. They chanted ""I can't breathe"" and ""Black Lives Matter"".",California,['https://event-newsenterprise.com/protests-erupt-in-los-al-planned-for-cypress/']
Newport Beach, June 3:  Four peaceful protests were held.,California,"['https://abc7.com/6230698/', 'https://abc7.com/6231002/', 'https://abc7.com/6230698/', 'https://abc7.com/society/protests-held-across-oc-including-4-in-newport-beach/6228583/']"
Orange," On May 30, hundreds marched at the Orange Plaza.",California,['https://www.ocregister.com/2020/05/30/hundreds-gather-at-orange-circle-plaza-to-protest-police-brutality/']
San Clemente, May 31:  More than 700 people protested peacefully at the San Clemente Pier.,California,"['https://www.ocregister.com/2-protests-over-george-floyds-death-in-san-clemente-on-sunday', 'https://patch.com/california/sanclemente/500-gather-san-clemente-pier-peaceful-protest']"
Santa Ana," On May 30, about 200 protesters gathered at McFadden Avenue and Bristol Street to protest the death of George Floyd.",California,['https://www.nbclosangeles.com/news/local/orange-county-anti-police-demonstration/2371099/']
Westminster," On June 5, 2020, about 200 protesters gathered at Liberty Park. They sang ""Happy Birthday"" to Breonna Taylor. They then marched to the Westminster Civic Center. The protest was overall peaceful.
Riverside County",California,['https://www.ocregister.com/2020/06/05/protests-for-social-justice-continue-throughout-orange-county-friday-in-response-to-george-floyd-death/']
Hemet," May 31:  A protest happened at the Hemet Valley Mall with hundreds of protesters. This protest stuck with the recurring theme of opportunists taking advantage of an otherwise peaceful protest to loot. The Hemet Valley Mall was reportedly broken into, and merchandise stolen.",California,['https://myvalleynews.com/hemet-protests-turn-violent/']
La Quinta, June 2:  About 50 to 60 people participated in a protest at La Quinta Community Park.,California,"['https://www.desertsun.com/story/news/local/2020/06/03/rally-underway-rancho-mirage-string-desert-protests-continue/3139176001/', 'https://mynewsla.com/crime/2020/06/04/protest-against-police-brutality-planned-for-cathedral-city/']"
Palm Desert," June 1:  ""at least 500""",California,"['https://www.desertsun.com/story/news/2020/06/01/demonstrations-over-death-george-floyd-planned-across-palm-springs-area/5308128002/', 'https://twitter.com/nbcpalmsprings/status/1267604367604985857', 'https://kesq.com/news/top-stories/2020/06/01/organizers-of-el-paseo-march-change-plans/', 'https://twitter.com/everettdaytona/status/1267613015198666752', 'https://twitter.com/markolalde/status/1267619743235665920/photo/1', 'https://www.youtube.com/watch?v=IaBzTb6yM-k', 'https://twitter.com/luforshort/status/1267647580965441536', 'https://twitter.com/TheTomBurkeShow/status/1267647439407734789']"
Palm Springs," June 1:  A protest of 50 people started early near Palm Canyon downtown but eventually grew to 500. Protesters asked police officers to ""kneel with us."" Prayers were said. Organizers decided to cancel the event at one point but the crowds remained. Riverside County officials said that the reason for setting a curfew was in response to riots in other cities in southern California and only partially because of the planned protest. Palm Springs Mayor Geoff Kors, a former civil-rights attorney, said:  ""This isn't a curfew. This is government taking away our First Amendment rights.""",California,"['https://www.desertsun.com/story/news/2020/06/01/demonstrations-over-death-george-floyd-planned-across-palm-springs-area/5308128002/', 'https://kesq.com/news/2020/06/01/peaceful-protest-to-take-place-in-downtown-palm-springs/']"
Rancho Mirage," June 3:  More than 125 marchers chanted ""No Justice! No peace!"" along San Jacinto Drive and Highway 111 and Rancho Mirage Community Park.",California,['https://www.desertsun.com/story/news/local/2020/06/03/rally-underway-rancho-mirage-string-desert-protests-continue/3139176001/']
Riverside," Hundreds protested at a ""Stand in Solidarity"" demonstration outside the Robert Presley Detention Center and the Riverside Public Library. A ""small amount"" of arrests were made. A plane with a banner that said ""We Love the Police"" flew overheard.",California,['https://www.pe.com/riverside-protest-over-george-floyds-death-underway']
Temecula," On May 30, 2020, hundreds of protesters came to protest at the Temecula Duck Pond. Six hours into the protest, Riverside County sheriff's deputies issued a dispersal order.
San Bernardino County",California,['https://patch.com/california/temecula/temecula-protest-over-george-floyd-killing-draws-hundreds']
Apple Valley," On June 3, 2020, hundreds of protesters demonstrated at the corner of Jess Ranch Parkway and Bear Valley Road during the afternoon. At least two clashes occurred between protesters and counter-protesters, which involved a firearm. At one point, there were between 300 and 400 people at the event.",California,['https://www.vvdailypress.com/news/20200603/hundreds-of-black-lives-matter-protesters-rally-in-apple-valley']
Barstow, June 1:  demonstrators protested at a Walmart on Montara Road shortly after 5 p.m.,California,['https://www.vvdailypress.com/news/20200601/barstow-adelanto-declare-local-emergencies-set-curfews-lsquoin-response-to-civil-unrestrsquo']
Big Bear Lake," A small group of protesters demonstrated at the entrance of Interlaken Center. During the middle of the day, more demonstrators joined the group.",California,['https://www.bigbeargrizzly.net/news/peaceful-protest-in-big-bear/article_78b28b04-a5ea-11ea-a104-27fd3652f195.html']
Chino," May 31:  About 35 peaceful protesters demonstrated at the Chino City Hall from 1 to 3 p.m. The protest started on Yorba Avenue, and the demonstrators kneeled for 8 minutes and 46 seconds to commemorate the time that Minneapolis police officer Derek Chauvin kneeled on George Floyd's neck",California,"['https://www.championnewspapers.com/news/article_1d8ed3ec-a74b-11ea-9cdd-37fff80fce4c.html', 'https://www.championnewspapers.com/gallery/collection_8ccf7f22-a84a-11ea-9884-43f7784b40b1.html']"
Chino Hills," May 31:  hundreds of demonstrators chanted and held up signs that said ""No justice, no peace"" and ""Black Lives Matters"" at the corners of Grand Avenue and Peyton Drive.",California,"['https://www.newsbreak.com/california/chino-hills/news/0PCpzseG/hundreds-protest-death-of-george-floyd-in-chino-hills', 'https://www.chinohills.org/CivicAlerts.aspx?AID=2243']"
Fontana," May 29:  One hundred protesters took to the streets of downtown Fontana. Rioters blocked traffic on Sierra Avenue and threw rocks and bottles at cars and buildings. Some threw bottles at police. Nine arrests were made for vandalism of cars, buildings, and the Fontana City Hall.",California,['https://abc7.com/black-lives-matter-blm-fontana-violent-protest/6218615/']
Joshua Tree/Twentynine Palms/Yucca Valley," In the afternoon of May 31, 2020, over 100 demonstrators protested on California State Route 62 and nearby streets.",California,['http://www.hidesertstar.com/news/article_e7fbab40-a39b-11ea-bd19-bb8ebd97b4cc.html']
Montclair," May 31:  at around 3 p.m., a peaceful protest occurred where demonstrators protested in Montclair and later traveled to the cities of Claremont and Pomona.",California,['https://www.cityofmontclair.org/residents/city-of-montclair-curfew']
Ontario," On June 6, 2020, around 300 protesters gathered at Ontario Mills and marched towards Rancho Cucamonga City Hall.",California,['https://www.dailybulletin.com/2020/06/06/demonstrators-at-ontario-mills-protest-for-black-lives-matter/']
Rancho Cucamonga," On May 29, 2020, hundreds of people attended a protest which started at 5 p.m. The protest was peaceful for two hours before they took over the intersection at Foothill Blvd. and Day Creek. Protesters prevented a bus from moving and attacked cars. Several demonstrators were arrested for failing to obey a legal dispersal order.",California,"['https://www.fontanaheraldnews.com/news/inland_empire_news/hundreds-gather-for-protest-in-rancho-cucamonga-on-may-29/article_f766c9f2-a288-11ea-a785-fbfda3c6240b.html', 'https://www.dailybulletin.com/2020/05/30/hundreds-gather-for-2nd-day-of-protests-in-rancho-cucamonga-after-george-floyds-death/']"
Redlands," On May 31, 2020, three protests occurred. In the largest of the three protests, people marched downtown and took a knee at Ed Hales Park on Fifth Street and outside of the Redlands Police Department.",California,['https://www.redlandsdailyfacts.com/2020/06/01/three-protests-in-redlands-remain-peaceful-police-chief-reports/']
San Bernardino," On May 31, hundreds of protesters gathered outside City Hall and the San Bernardino Police Department, chanting ""No justice, no peace! No racist police!"" In response, California Highway Patrol officers were sent to keep demonstrators off the freeway lanes. A Bank of America was vandalized, several small fires were reported throughout the city, and water bottles and rocks were thrown at CHP officers.",California,['https://www.sbsun.com/2020/05/31/hundreds-march-through-downtown-san-bernardino-in-george-floyd-protest/']
Upland," On June 1, 2020, several hundred protesters gathered at the intersection of Foothill Boulevard and Euclid Avenue. During the protest, a man was seen brandishing a gun at protesters. The man was arrested and booked at the West Valley Detention Center. Later in the protests, demonstrators blocked a street near Foothill Blvd. and Euclid Ave. and threw rocks and water bottles at police. In response to this, police officers fired pepper balls and sting balls.",California,['https://www.dailybulletin.com/2020/06/01/armed-man-threatens-demonstrators-in-upland-is-later-arrested/']
Victorville, May 31:  at least 100 demonstrators protested and held up signs on the Bear Valley Road overpass.,California,"['https://www.vvdailypress.com/news/20200531/victorville-rally-draws-dozens-protesting-george-floydrsquos-death-and-others', 'https://www.nbclosangeles.com/news/deputies-investigating-death-of-black-man-found-hanging-in-victorville/2380077/', 'https://www.nytimes.com/2020/06/14/us/robert-fuller-malcolm-harsch-deaths.html', 'https://www.pressdemocrat.com/news/11036520-181/california-fbi-to-oversee-investigation']"
Yucaipa," A peaceful protest occurred on May 30, 2020 at the corner of Oak Glen Road and Yucaipa Boulevard from noon to 4 p.m.
San Diego County",California,"['https://www.newsmirror.net/news/yucaipa-protests-stay-peaceful-for-the-most-part/article_3481db60-a5ef-11ea-bd37-8f4b843999f2.html', 'https://fox5sandiego.com/news/local-news/san-diego-county-requests-national-guard/', 'https://www.cbs8.com/article/news/local/san-diego-county-requests-national-guard/509-5778e495-c0b8-4ddb-a5af-17a96d6a20a4', 'https://www.kpbs.org/news/2020/jun/09/la-mesa-protest-riots-fires-police-george-floyd/', 'https://www.kpbs.org/news/2020/jun/06/la-mesa-protest-riots-fires-police-george-floyd/']"
4S Ranch, June 2:  Around 400 to 500 protesters demonstrated at a busy intersection.,California,"['https://fox5sandiego.com/news/local-news/peaceful-protest-held-in-4s-ranch/', 'https://www.sandiegouniontribune.com/pomerado-news/news/local-news/4s/story/2020-06-02/hundreds-protest-on-tuesday-evening-in-4s-ranch']"
Cardiff," June 8:  Doctors, nurses and health professionals rallied at Cardiff Kook at 2pm while another protest occurred at 5pm at Cardiff River Mouth Beach.",California,['https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/']
Carlsbad," June 5:  Hundreds of protesters rallied in Cannon Park where 8'46"" of silence was observed. Carlsbad Police said they were investigating ""a threat of violence against the rally"" but the protest concluded peacefully.",California,['https://fox5sandiego.com/news/local-news/watch-live-protesters-rally-in-carlsbad/']
Chula Vista, More than 100 protesters in the Chula Vista Community Park calling for police reforms and equal justice.,California,"['https://www.sandiegouniontribune.com/news/story/2020-06-04/chula-vista-mayor-police-take-a-knee-with-protesters-at-peaceful-demonstration', 'https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/']"
Coronado," May 31:  A makeshift memorial for George Floyd was set up on a sidewalk near Coronado's central beach. It is growing as people leave notes, flowers and candles.",California,"['https://coronadotimes.com/news/2020/05/31/memorial-for-george-floyd-grows-at-coronado-beach/', 'https://www.nbcsandiego.com/news/local/anti-racism-protests-planned-for-san-diego/2346547/']"
Cortez Hill," June 4:  After a June 4 civil rights protest, a woman in downtown San Diego was forcibly dragged into an unmarked car by unidentified law enforcement officers. One of the officers could be heard saying to the protesters, ""You follow us, you will get shot. Do you understand me?"" San Diego police department later confirmed the individuals were law enforcement officers and claimed the woman had hit police with her protest sign.",California,['https://www.nbcsandiego.com/news/local/several-sdpd-officers-under-investigation-after-video-shows-woman-detained-in-unmarked-vehicle/2341885/']
Del Mar Heights, June 6:  About 300 protested in Del Mar Heights.,California,['https://timesofsandiego.com/politics/2020/06/06/peaceful-justice-protests-include-3000-at-county-administration-center/']
Encinitas, May 31:  Hundreds gathered at the Magic Carpet Ride sculpture for a George Floyd memorial. San Diego Sheriff's deputies monitored the site.,California,"['https://www.thecoastnews.com/protesters-gather-at-memorial-for-george-floyd-in-encinitas/', 'https://www.pacificsandiego.com/latest/story/2020-06-10/teens-rally-in-encinitas-for-black-lives-matter']"
Escondido, June 2:  Protesters gathered outside of the Escondido Police Department. The demonstrators held up signs and chanted slogans.,California,"['https://www.kusi.com/protests-spread-across-san-diego-county-on-third-night-of-unrest/', 'https://fox5sandiego.com/news/local-news/watch-live-demonstrators-march-in-escondido/']"
Hillcrest, June 8:  Protesters blocked roads and intersections around 8pm.,California,['https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/']
Imperial Beach, June 7:  A protest was underway at Imperial Beach Pier Plaza when a police reform activist making a video was sucker-punched from behind by a tall man in a red shirt. The San Diego Sheriff's office interviewed a subject but did not get a positive ID.,California,"['https://www.kpbs.org/news/2020/jun/08/imperial-beach-assault-called-disturbing/', 'https://www.cbs8.com/article/news/local/imperial-beach-investigation-attack-protesters-punch-black-lives-matter-hate-crime/509-553ee8b4-a75f-4a58-b838-9a1cc01ba83a']"
Julian, A protest occurred on June 4.,California,['https://www.cbs8.com/gallery/news/local/julian-protest-june-4-2020/509-5e39fe24-a187-48b3-85bc-9495fc1c2ca5']
La Jolla,,California,[]
La Mesa,,California,[]
"hijabs, read a list of ""non-negotiable demands"" including a town hall meeting and the release of the name of the officer who shot Leslie Furcron in the face. The Chief of Police stated", “We are going to continue to work toward those ,California,['https://timesofsandiego.com/politics/2020/06/14/la-mesa-police-chief-hears-non-negotiable-demands-as-bikers-join-rally/']
Mira Mesa, June 4:  Several dozen protested near Mira Mesa Recreation Center.,California,['https://timesofsandiego.com/crime/2020/06/03/san-diego-area-protests-against-police-brutality-continue-for-sixth-day/']
Oceanside, June 4:  A peaceful protest took place.,California,"['https://timesofsandiego.com/crime/2020/06/03/san-diego-area-protests-against-police-brutality-continue-for-sixth-day/', 'https://www.cbs8.com/article/news/local/protests/oceanside-white-teen-knife-during-black-lives-matter-protes/509-4ee8f653-bb9d-48c7-abc3-5d0de229d5fb']"
Pacific Beach," June 6:  Hundreds of surfers and other supporters organized a ""Paddle for Peace"" demonstration at Tourmaline Surfing Park. Demonstrators observe 8'46"" of silence and surfers dropped flowers and leis on the waves at a synchronized moment.",California,"['https://www.pbmonthly.net/news/story/2020-06-06/paddle-for-peace-protesters-rally-at-tourmaline-surf-spot-to-honor-george-floyd', 'https://www.kpbs.org/news/2020/jun/07/ninth-day-of-protests-san-diego-county/']"
Poway,,California,[]
Ramona," June 1:  Protesters chanting ""Black Lives Matter"" were confronted by self-described patriots who ""aimed to defend Ramona against violence."" June 2:  More than 100 protesters carried signs reading “Justice for George Floyd"" and ""“End police brutality” at a busy intersection. Standing among them were ""community peacekeepers"" carrying Trump signs.",California,['https://www.sandiegouniontribune.com/ramona-sentinel/news/story/2020-06-02/protesters-in-ramona-call-for-an-end-to-racism-and-oppression']
