,date,city_st,size,size_str,urls,collection
37,2020-05-29,"Las Vegas, Las Vegas",200.0,hundreds,"['https://www.reviewjournal.com/local/the-strip/2-photojournalists-including-review-journal-staffer-arrested-covering-george-floyd-protest-2039655/', 'https://www.reviewjournal.com/local/the-strip/george-floyd-protest-on-las-vegas-strip-turns-into-tense-standoff-2038368/', 'https://m.lasvegassun.com/news/2020/may/30/george-floyd-protesters-march-on-strip-for-justice/', 'https://www.ktnv.com/news/blacklivesmatter-protest-held-on-las-vegas-strip-in-response-to-george-floyd-death', 'https://www.fox5vegas.com/news/80-arrests-12-officers-injured-in-george-floyd-protest-on-las-vegas-strip/article_5f1ec394-a2b4-11ea-9731-3faf4683f705.html', 'https://www.ktnv.com/news/more-protests-planned-for-saturday-night-in-downtown-las-vegas', 'https://edition.cnn.com/us/live-news/george-floyd-protests-06-02-20/h_37bbeda708c966d5f7329362ce636363']",Wikipedia
38,2020-05-30,"Reno, NV",,"at least 1,000 people","['https://www.kolotv.com/content/news/Protests-in-downtown-Reno-Saturday-over-George-Floyd-death-570898191.html', 'https://www.ktvn.com/story/42192252/reno-police-department-vandalized-amid-protests-following-death-of-george-floyd', 'https://www.rgj.com/story/news/2020/05/30/hundreds-gather-reno-protest-george-floyds-death/5291340002/', 'https://www.kunr.org/post/how-peaceful-protest-reno-turned-chaos#stream/0', 'https://www.8newsnow.com/news/local-news/governor-sisolak-activates-nevada-national-guard/']",Wikipedia
39,2020-06-03,"Bristol, NH",200.0,about 200 people,['https://www.wmur.com/article/hundreds-gather-for-peaceful-demonstration-in-bristol/32760087'],Wikipedia
40,2020-05-31,"Conway, NH",200.0,about 200 people,['https://www.unionleader.com/news/safety/about-200-gather-at-conway-black-lives-matter-protest/article_b0bf72a6-4fd3-56c6-99ab-ded4a84b009a.html'],Wikipedia
41,2020-06-01,"Dover, NH",200.0,Hundreds,['https://www.wmur.com/article/vigil-planned-in-dover-over-killing-of-man-in-police-custody/32731715'],Wikipedia
42,2020-05-30,"Dublin, NH",,,['https://www.sentinelsource.com/news/local/regions-residents-turn-out-to-protest-death-of-george-floyd/article_2402cf0e-05d9-5286-8213-1b45ca3f0d7a.html'],Wikipedia
43,2020-06-01,"Hanover, NH",,over 300 town residents,['https://www.thedartmouth.com/article/2020/06/rally-held-on-green-against-police-brutality'],Wikipedia
44,2020-05-30,"Keene, NH",,,['https://www.sentinelsource.com/news/local/regions-residents-turn-out-to-protest-death-of-george-floyd/article_2402cf0e-05d9-5286-8213-1b45ca3f0d7a.html'],Wikipedia
45,2020-05-30,"Manchester, NH",,approximately 800 people,"['https://www.nhpr.org/post/chanting-black-lives-matter-hundreds-march-through-streets-manchester', 'https://www.wmur.com/article/thousands-march-in-manchester-to-protest-death-of-george-floyd/32719310', 'https://www.unionleader.com/news/safety/hundreds-gather-in-manchester-to-protest-minneapolis-mans-death-in-police-custody-two-arrested-after/article_0b9f5258-751d-5fc7-bd2a-17bd0316996b.html', 'https://www.nhpr.org/post/chanting-black-lives-matter-hundreds-march-through-streets-manchester', 'https://www.wmur.com/article/thousands-march-in-manchester-to-protest-death-of-george-floyd/32719310', 'https://www.unionleader.com/news/safety/hundreds-gather-in-manchester-to-protest-minneapolis-mans-death-in-police-custody-two-arrested-after/article_0b9f5258-751d-5fc7-bd2a-17bd0316996b.html', 'https://www.nhpr.org/post/chanting-black-lives-matter-hundreds-march-through-streets-manchester', 'https://www.wmur.com/article/thousands-march-in-manchester-to-protest-death-of-george-floyd/32719310', 'https://www.unionleader.com/news/safety/hundreds-gather-in-manchester-to-protest-minneapolis-mans-death-in-police-custody-two-arrested-after/article_0b9f5258-751d-5fc7-bd2a-17bd0316996b.html']",Wikipedia
46,2020-06-06,"Nashua, NH",1200.0,"over 1,000 people",['https://www.wmur.com/article/hundreds-in-nashua-come-together-for-black-lives-matter-vigil/32789931'],Wikipedia
47,2020-05-30,"Peterborough, NH",,,"['https://www.sentinelsource.com/news/local/regions-residents-turn-out-to-protest-death-of-george-floyd/article_2402cf0e-05d9-5286-8213-1b45ca3f0d7a.html', 'https://midjersey.news/2020/05/30/black-lives-matter-justice-for-george-floyd-protest-held-in-trenton/']",Wikipedia
48,2020-05-28,"Albuquerque, NM",200.0,hundreds,"['https://www.koat.com/article/protest-returns-to-central-and-wyoming-early-friday-morning/32706707', 'https://www.krqe.com/news/albuquerque-metro/demonstrators-gather-in-albuquerque-to-protest-george-floyds-death/']",Wikipedia
49,2020-05-30,"Carlsbad, CA",80.0,about 80 protesters,['https://www.currentargus.com/story/news/local/2020/06/01/george-floyd-carlsbad-sees-peaceful-protest-wake-death/5307637002/'],Wikipedia
50,2020-06-03,"Gallup, NM",,Some 150,['https://navajotimes.com/reznews/gallup-sees-protest-over-murder-of-george-floyd/'],Wikipedia
51,2020-06-01,"Farmington, NM",,more than 400 people,['https://durangoherald.com/articles/326787'],Wikipedia
52,2020-05-30,"Las Cruces, NM",,about 40 people,"['https://kvia.com/news/new-mexico/2020/05/30/dozens-gather-along-las-cruces-main-street-for-peaceful-protest-of-george-floyd-death/', 'https://kvia.com/news/new-mexico/2020/06/01/watch-live-hundreds-of-george-floyd-protesters-on-streets-of-las-cruces/']",Wikipedia
53,2020-05-31,"Los Alamos, NM",200.0,about 200 people,"['https://losalamosreporter.com/2020/05/31/large-crowd-turns-out-for-peaceful-protest-sunday-in-los-alamos', 'https://ladailypost.com/more-than-300-peaceful-protesters-attend-rally-at-pond/', 'https://ladailypost.com/scenes-from-black-lives-matter-protest-this-afternoon/']",Wikipedia
54,2020-05-30,"Roswell, NM",,,['https://www.kob.com/new-mexico-news/protesters-gather-in-southeast-new-mexico-to-honor-to-george-floyd/5748169/'],Wikipedia
