id,date,city_st,location,size,size_str,urls,collection
,2020-05-28,"West St. Paul, MN",", West St. Paul, MN",,,['http://www.twincities.com/2020/05/29/twin-cities-suburbs-report-overnight-damage-amid-protest-for-george-floyd/'],CCC
,2020-05-28,"Windermere, FL","townhouse owned by Derek Chauvin, Windermere, FL",24.0,dozens,['https://www.orlandosentinel.com/news/breaking-news/os-ne-george-floyd-protests-saturday-20200606-e2hmreb46zafzpk34mo62ndxw4-story.html'],CCC
,2020-05-29,"Albuquerque, NM","downtown, Route 66, Albuquerque, NM",,,"['https://kvia.com/news/el-paso/2020/05/30/el-paso-police-headquarters-target-of-george-floyd-protest-vandalism-overnight/', 'https://www.detroitnews.com/story/news/nation/2020/05/29/minneapolis-protests-spread-cities-across-us/111878532/', 'https://durangoherald.com/articles/326347-albuquerque-cops-use-tear-gas-helicopter-against-protesters']",CCC
,2020-05-29,"Astoria, OR","Post office, Astoria, OR",,,['https://www.dailyastorian.com/news/local/photo-standing-for-justice/article_7beedc6c-a20e-11ea-8940-2b8383d1f2c9.html'],CCC
,2020-05-29,"Athens , GA","University of Georgia , Athens , GA",7.0,count pic ,['https://www.onlineathens.com/photogallery/GA/20200529/NEWS/529009996/PH/1'],CCC
,2020-05-29,"Atlanta, GA","Centennial Olympic Park, state capitol, CNN Center , Atlanta, GA",1010.0,hundreds; thousands,"['https://www.fox61.com/article/news/local/cnn-center-vandalized-during-atlanta-protest/85-6d2d1593-294a-47cc-93f6-65deab105bd7', 'https://twitter.com/KamauKuumba/status/1266827093310091266', 'https://www.fox5dc.com/news/cnn-center-heavily-vandalized-during-atlanta-protest-against-death-of-george-floyd']",CCC
,2020-05-29,"Atlanta, GA","Centennial Olympic Park , Atlanta, GA",,,['https://www.11alive.com/gallery/news/nation-world/protesters-in-downtown-atlanta-make-their-voices-heard/85-4ce71ca5-c067-4252-8d36-ca4e43e3f91a'],CCC
,2020-05-29,"Bakersfield, CA","Bakersfield Police Department, Bakersfield, CA",500.0,about 500,['https://www.bakersfield.com/news/breaking/massive-protest-erupts-in-downtown-bakersfield/article_e40422ec-a224-11ea-8442-43b66143d944.html'],CCC
,2020-05-29,"Baltimore, MD",", Baltimore, MD",200.0,hundreds,['https://www.baltimoresun.com/maryland/baltimore-city/bs-md-ci-baltimore-protest-george-floyd-20200530-bjz7m3jcdbg2vazznu7nujdqne-story.html'],CCC
,2020-05-29,"Bar Harbor, ME",", Bar Harbor, ME",,,['https://www.mdislander.com/maine-news/community-honors-george-floyd-rally-comments-graffiti-strike-a-nerve'],CCC
,2020-05-29,"Bay City, MI","Wenonah Park , Bay City, MI",,,['https://www.mlive.com/news/saginaw-bay-city/2020/05/minneapolis-demonstrations-spark-black-lives-matter-protest-in-downtown-bay-city-flint-mayor-statement.html'],CCC
,2020-05-29,"Bellingham, WA","outside of the Bellingham public library main entrance, Bellingham, WA",,,"['https://twitter.com/BhamAntifa161/status/1266303417510551552', 'https://www.bellinghamherald.com/news/local/article243223466.html']",CCC
