id,date,city_st,location,size,size_str,urls,collection
6236,2017-07-09,"St. Paul, MN","St. Paul, MN",300.0,300.0,['http://www.startribune.com/riot-charges-dropped-against-philando-castile-s-cousin-in-i-94-protest/438322243/'],Count Love
5898,2017-07-13,"Merced, CA","Merced, CA",,nan,"['http://www.mercedsunstar.com/news/local/article161294338.html', 'http://www.mercedsunstar.com/news/article161318523.html']",Count Love
5913,2017-07-15,"Indianapolis, IN","Indianapolis, IN",200.0,200.0,"['http://www.indystar.com/story/news/local/2017/07/15/rally-aaron-bailey-gathering-indiana-statehouse/469013001/', 'http://wishtv.com/2017/07/15/hundreds-gather-for-rally-in-support-of-aaron-bailey/']",Count Love
5934,2017-07-16,"St. Paul, MN","St. Paul, MN",100.0,100.0,['http://www.twincities.com/2017/07/17/threats-and-assault-reported-as-protesters-march-on-st-paul-mayors-house/'],Count Love
6013,2017-07-22,"Perris, CA","Perris, CA",40.0,40.0,['http://www.pe.com/2017/07/22/dozens-protest-in-support-of-flower-lady-in-perris/'],Count Love
6035,2017-07-24,"Cincinnati, OH","Cincinnati, OH",,nan,"['http://www.live5news.com/story/35955761/the-latest-groups-rally-for-ex-cop-slain-motorist-in-ohio', 'http://www.cincinnati.com/picture-gallery/news/local/2017/07/24/tensingdubose-rally/103971878/']",Count Love
6099,2017-07-28,"Philadelphia, PA","Philadelphia, PA",,nan,['http://www.metro.us/news/local-news/philadelphia/david-jones-shooting-protesters-issue-demands-to-police-mayor'],Count Love
6143,2017-07-29,"Seattle, WA","Seattle, WA",200.0,200.0,['http://komonews.com/news/local/seahawks-michael-bennett-hosts-rally-for-lyles-family'],Count Love
6204,2017-07-31,"Center City, PA","Franklin Square, Center City, PA",,nan,['http://6abc.com/society/childrens-event-in-franklin-square-interrupted-by-protesters/2264548/'],Count Love
6278,2017-08-07,"Philadelphia, PA","Philadelphia, PA",,nan,['http://www.philly.com/philly/news/politics/city/blm-protesters-shut-down-zero-waste-press-conference-20170807.html'],Count Love
